"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"07/01/2020 20:00:00 - 07/01/2020 21:00:00","BZN|NO5","Without sequence","28.63","",""
"07/01/2020 21:00:00 - 07/01/2020 22:00:00","BZN|NO5","Without sequence","27.98","",""
"07/01/2020 22:00:00 - 07/01/2020 23:00:00","BZN|NO5","Without sequence","27.41","",""
"07/01/2020 23:00:00 - 08/01/2020 00:00:00","BZN|NO5","Without sequence","27.61","",""
"08/01/2020 00:00:00 - 08/01/2020 01:00:00","BZN|NO5","Without sequence","24.46","",""
"08/01/2020 01:00:00 - 08/01/2020 02:00:00","BZN|NO5","Without sequence","24.82","",""
"08/01/2020 02:00:00 - 08/01/2020 03:00:00","BZN|NO5","Without sequence","22.5","",""
"08/01/2020 03:00:00 - 08/01/2020 04:00:00","BZN|NO5","Without sequence","20.42","",""
"08/01/2020 04:00:00 - 08/01/2020 05:00:00","BZN|NO5","Without sequence","20.01","",""
"08/01/2020 05:00:00 - 08/01/2020 06:00:00","BZN|NO5","Without sequence","23.0","",""
"08/01/2020 06:00:00 - 08/01/2020 07:00:00","BZN|NO5","Without sequence","26.2","",""
"08/01/2020 07:00:00 - 08/01/2020 08:00:00","BZN|NO5","Without sequence","26.99","",""
"08/01/2020 08:00:00 - 08/01/2020 09:00:00","BZN|NO5","Without sequence","27.34","",""
"08/01/2020 09:00:00 - 08/01/2020 10:00:00","BZN|NO5","Without sequence","27.92","",""
"08/01/2020 10:00:00 - 08/01/2020 11:00:00","BZN|NO5","Without sequence","28.03","",""
"08/01/2020 11:00:00 - 08/01/2020 12:00:00","BZN|NO5","Without sequence","28.02","",""
"08/01/2020 12:00:00 - 08/01/2020 13:00:00","BZN|NO5","Without sequence","28.0","",""
"08/01/2020 13:00:00 - 08/01/2020 14:00:00","BZN|NO5","Without sequence","27.98","",""
"08/01/2020 14:00:00 - 08/01/2020 15:00:00","BZN|NO5","Without sequence","28.06","",""
"08/01/2020 15:00:00 - 08/01/2020 16:00:00","BZN|NO5","Without sequence","28.44","",""
"08/01/2020 16:00:00 - 08/01/2020 17:00:00","BZN|NO5","Without sequence","28.88","",""
"08/01/2020 17:00:00 - 08/01/2020 18:00:00","BZN|NO5","Without sequence","29.02","",""
"08/01/2020 18:00:00 - 08/01/2020 19:00:00","BZN|NO5","Without sequence","28.95","",""
"08/01/2020 19:00:00 - 08/01/2020 20:00:00","BZN|NO5","Without sequence","28.72","",""
"08/01/2020 20:00:00 - 08/01/2020 21:00:00","BZN|NO5","Without sequence","28.6","",""
"08/01/2020 21:00:00 - 08/01/2020 22:00:00","BZN|NO5","Without sequence","28.51","",""
"08/01/2020 22:00:00 - 08/01/2020 23:00:00","BZN|NO5","Without sequence","28.17","",""
"08/01/2020 23:00:00 - 09/01/2020 00:00:00","BZN|NO5","Without sequence","27.93","",""
"09/01/2020 00:00:00 - 09/01/2020 01:00:00","BZN|NO5","Without sequence","25.21","",""
"09/01/2020 01:00:00 - 09/01/2020 02:00:00","BZN|NO5","Without sequence","25.34","",""
"09/01/2020 02:00:00 - 09/01/2020 03:00:00","BZN|NO5","Without sequence","25.65","",""
"09/01/2020 03:00:00 - 09/01/2020 04:00:00","BZN|NO5","Without sequence","25.72","",""
"09/01/2020 04:00:00 - 09/01/2020 05:00:00","BZN|NO5","Without sequence","25.93","",""
"09/01/2020 05:00:00 - 09/01/2020 06:00:00","BZN|NO5","Without sequence","26.24","",""
"09/01/2020 06:00:00 - 09/01/2020 07:00:00","BZN|NO5","Without sequence","26.6","",""
"09/01/2020 07:00:00 - 09/01/2020 08:00:00","BZN|NO5","Without sequence","27.7","",""
"09/01/2020 08:00:00 - 09/01/2020 09:00:00","BZN|NO5","Without sequence","28.25","",""
"09/01/2020 09:00:00 - 09/01/2020 10:00:00","BZN|NO5","Without sequence","28.31","",""
"09/01/2020 10:00:00 - 09/01/2020 11:00:00","BZN|NO5","Without sequence","28.4","",""
"09/01/2020 11:00:00 - 09/01/2020 12:00:00","BZN|NO5","Without sequence","28.37","",""
"09/01/2020 12:00:00 - 09/01/2020 13:00:00","BZN|NO5","Without sequence","28.29","",""
"09/01/2020 13:00:00 - 09/01/2020 14:00:00","BZN|NO5","Without sequence","28.37","",""
"09/01/2020 14:00:00 - 09/01/2020 15:00:00","BZN|NO5","Without sequence","28.5","",""
"09/01/2020 15:00:00 - 09/01/2020 16:00:00","BZN|NO5","Without sequence","28.76","",""
"09/01/2020 16:00:00 - 09/01/2020 17:00:00","BZN|NO5","Without sequence","28.98","",""
"09/01/2020 17:00:00 - 09/01/2020 18:00:00","BZN|NO5","Without sequence","28.91","",""
"09/01/2020 18:00:00 - 09/01/2020 19:00:00","BZN|NO5","Without sequence","28.71","",""
"09/01/2020 19:00:00 - 09/01/2020 20:00:00","BZN|NO5","Without sequence","28.33","",""
"09/01/2020 20:00:00 - 09/01/2020 21:00:00","BZN|NO5","Without sequence","27.64","",""
"09/01/2020 21:00:00 - 09/01/2020 22:00:00","BZN|NO5","Without sequence","27.55","",""
"09/01/2020 22:00:00 - 09/01/2020 23:00:00","BZN|NO5","Without sequence","26.9","",""
"09/01/2020 23:00:00 - 10/01/2020 00:00:00","BZN|NO5","Without sequence","26.41","",""
"10/01/2020 00:00:00 - 10/01/2020 01:00:00","BZN|NO5","Without sequence","26.07","",""
"10/01/2020 01:00:00 - 10/01/2020 02:00:00","BZN|NO5","Without sequence","26.01","",""
"10/01/2020 02:00:00 - 10/01/2020 03:00:00","BZN|NO5","Without sequence","25.81","",""
"10/01/2020 03:00:00 - 10/01/2020 04:00:00","BZN|NO5","Without sequence","25.89","",""
"10/01/2020 04:00:00 - 10/01/2020 05:00:00","BZN|NO5","Without sequence","26.2","",""
"10/01/2020 05:00:00 - 10/01/2020 06:00:00","BZN|NO5","Without sequence","26.95","",""
"10/01/2020 06:00:00 - 10/01/2020 07:00:00","BZN|NO5","Without sequence","28.25","",""
"10/01/2020 07:00:00 - 10/01/2020 08:00:00","BZN|NO5","Without sequence","29.49","",""
"10/01/2020 08:00:00 - 10/01/2020 09:00:00","BZN|NO5","Without sequence","29.87","",""
"10/01/2020 09:00:00 - 10/01/2020 10:00:00","BZN|NO5","Without sequence","29.79","",""
"10/01/2020 10:00:00 - 10/01/2020 11:00:00","BZN|NO5","Without sequence","29.68","",""
"10/01/2020 11:00:00 - 10/01/2020 12:00:00","BZN|NO5","Without sequence","29.47","",""
"10/01/2020 12:00:00 - 10/01/2020 13:00:00","BZN|NO5","Without sequence","28.64","",""
"10/01/2020 13:00:00 - 10/01/2020 14:00:00","BZN|NO5","Without sequence","28.45","",""
"10/01/2020 14:00:00 - 10/01/2020 15:00:00","BZN|NO5","Without sequence","28.23","",""
"10/01/2020 15:00:00 - 10/01/2020 16:00:00","BZN|NO5","Without sequence","28.85","",""
"10/01/2020 16:00:00 - 10/01/2020 17:00:00","BZN|NO5","Without sequence","29.63","",""
"10/01/2020 17:00:00 - 10/01/2020 18:00:00","BZN|NO5","Without sequence","29.63","",""
"10/01/2020 18:00:00 - 10/01/2020 19:00:00","BZN|NO5","Without sequence","29.49","",""
"10/01/2020 19:00:00 - 10/01/2020 20:00:00","BZN|NO5","Without sequence","29.1","",""
"10/01/2020 20:00:00 - 10/01/2020 21:00:00","BZN|NO5","Without sequence","27.6","",""
"10/01/2020 21:00:00 - 10/01/2020 22:00:00","BZN|NO5","Without sequence","27.05","",""
"10/01/2020 22:00:00 - 10/01/2020 23:00:00","BZN|NO5","Without sequence","26.42","",""
"10/01/2020 23:00:00 - 11/01/2020 00:00:00","BZN|NO5","Without sequence","26.07","",""
"11/01/2020 00:00:00 - 11/01/2020 01:00:00","BZN|NO5","Without sequence","26.53","",""
"11/01/2020 01:00:00 - 11/01/2020 02:00:00","BZN|NO5","Without sequence","26.3","",""
"11/01/2020 02:00:00 - 11/01/2020 03:00:00","BZN|NO5","Without sequence","26.15","",""
"11/01/2020 03:00:00 - 11/01/2020 04:00:00","BZN|NO5","Without sequence","25.75","",""
"11/01/2020 04:00:00 - 11/01/2020 05:00:00","BZN|NO5","Without sequence","25.41","",""
"11/01/2020 05:00:00 - 11/01/2020 06:00:00","BZN|NO5","Without sequence","25.32","",""
"11/01/2020 06:00:00 - 11/01/2020 07:00:00","BZN|NO5","Without sequence","25.46","",""
"11/01/2020 07:00:00 - 11/01/2020 08:00:00","BZN|NO5","Without sequence","25.41","",""
